,factory_line,time,temperature,humidity,electrical_energy
0,LINE1_PROC1,2020-12-11 18:05:01,36.5,10.2,22.4
1,LINE1_PROC1,2020-12-11 18:05:02,36.5,10.2,22.4
2,LINE1_PROC1,2020-12-11 18:05:03,36.5,10.2,22.4
3,LINE1_PROC1,2020-12-11 18:05:04,36.5,10.2,22.4
4,LINE1_PROC1,2020-12-11 18:05:05,36.5,10.2,22.4
5,LINE1_PROC1,2020-12-11 18:05:06,36.5,10.2,22.4
6,LINE1_PROC1,2020-12-11 18:05:07,36.5,10.2,22.4
7,LINE1_PROC1,2020-12-11 18:05:08,36.5,10.2,22.4
8,LINE1_PROC1,2020-12-11 18:05:10,36.5,10.2,22.4
9,LINE1_PROC1,2020-12-11 18:05:12,36.5,10.2,22.4
10,LINE1_PROC1,2020-12-11 18:05:13,36.5,10.2,22.4
11,LINE1_PROC1,2020-12-11 18:05:14,36.5,10.2,22.4
12,LINE1_PROC1,2020-12-11 18:05:15,36.5,10.2,22.4
13,LINE1_PROC1,2020-12-11 18:05:16,36.5,10.2,22.4
14,LINE1_PROC1,2020-12-15 17:37:22,23.8,21.0,34.8395
15,LINE1_PROC1,2020-12-15 17:37:23,23.8,21.0,29.0329
16,LINE1_PROC1,2020-12-15 17:42:08,24.3,21.0,17.4198
17,LINE1_PROC1,2020-12-15 17:42:11,24.3,21.0,-5.80659
18,LINE1_PROC1,2020-12-15 17:44:52,24.2,21.0,29.0329
19,LINE1_PROC1,2020-12-15 17:44:55,24.3,21.0,34.8395
20,LINE1_PROC1,2020-12-15 17:44:58,24.1,21.0,34.8395
21,LINE1_PROC1,2020-12-15 17:45:01,24.2,21.0,34.8395
22,LINE1_PROC1,2020-12-15 17:45:04,24.3,21.0,34.8395
23,LINE1_PROC1,2020-12-15 17:45:08,24.2,21.0,34.8395
24,LINE1_PROC1,2020-12-15 17:45:11,24.3,21.0,29.0329
25,LINE1_PROC1,2020-12-15 17:45:13,24.2,21.0,34.8395
