등록일자,조도2(0~255단계),조도4(0~255단계),조도6,누적전력량3(W),누적전력량4(W),누적전력량6(W)
2020-11-09 0:00,58,7.9,7.8,1,100,100
2020-11-09 0:00,54,1.3,1.3,0,100,100
2020-11-09 0:00,33,6.1,6.2,1,100,100
2020-11-09 0:00,9,10,0,0,100,100
2020-11-09 0:00,12,0,0,1,0,100
2020-11-09 0:00,31,0,0,0,100,100
2020-11-09 0:00,4,0,0,0,100,100
2020-11-09 0:00,12,0,0,0,100,100
2020-11-09 0:00,3,0,0,0,100,100
2020-11-09 0:00,7,0,0,0,100,100
2020-11-09 0:00,28,5,4.8,1,56,55
2020-11-09 0:01,12,0,0,1,27,100
2020-11-09 0:01,43,0,0,0,100,100
2020-11-09 0:01,8,0,0,0,100,100
2020-11-09 0:01,5,0.1,0.1,0,100,100
2020-11-09 0:01,27,7.2,6.2,0,100,100
2020-11-09 0:01,12,0,0,0,33,33
2020-11-09 0:01,19,7.5,7.6,0,41,42
2020-11-09 0:01,7,0,0,0,100,100
2020-11-09 0:01,22,6.9,7,0,100,100
2020-11-09 0:01,5,0,0,1,100,100
2020-11-09 0:01,11,7.9,7.4,0,100,100
2020-11-09 0:01,38,19.5,14.9,1,100,100
2020-11-09 0:02,5,0.1,0.1,0,100,100
2020-11-09 0:02,13,10.5,11.5,1,0,0
2020-11-09 0:02,6,0,0,0,100,100
2020-11-09 0:02,58,0,0,1,100,100
2020-11-09 0:02,57,4.4,4.2,0,100,100
2020-11-09 0:02,2,6.5,6.7,0,97,97
2020-11-09 0:02,10,7.4,6,0,98,97
2020-11-09 0:02,7,0,0,0,100,100
2020-11-09 0:02,7,0,0,0,100,100
2020-11-09 0:02,16,0,0,1,100,100
2020-11-09 0:02,9,0.1,0.1,0,100,100
2020-11-09 0:02,30,4.9,4.9,0,23,24
2020-11-09 0:02,10,0,0,0,100,100
2020-11-09 0:03,6,0,0,1,7,9
2020-11-09 0:03,19,2.2,2.2,0,0,0
2020-11-09 0:03,7,0,0,0,100,100
2020-11-09 0:03,19,0,0,0,100,100
2020-11-09 0:03,44,1.1,16.5,0,100,100
2020-11-09 0:03,15,0.1,0.1,0,75,76
2020-11-09 0:03,10,0,0,0,100,100
2020-11-09 0:04,12,2.6,2.5,0,84,84
2020-11-09 0:04,20,0,0,0,100,100
2020-11-09 0:04,11,0,0,0,100,100
2020-11-09 0:04,12,2.5,2.5,0,100,100
2020-11-09 0:04,52,0,0,1,100,100
2020-11-09 0:04,NaN,0,0,0,100,100
2020-11-09 0:04,4,5.3,5.3,0,100,100
2020-11-09 0:04,38,0,0,1,100,100
2020-11-09 0:04,26,0,0,1,17,100
2020-11-09 0:04,8,0,0,0,100,100
2020-11-09 0:04,13,17.4,5.6,1,87,88
2020-11-09 0:05,14,0,0,0,100,100
2020-11-09 0:05,14,0,0,0,100,100
2020-11-09 0:05,15,0.1,0.1,0,100,100
2020-11-09 0:05,1,0,0,0,100,100
2020-11-09 0:05,7,0.1,0.1,0,100,100
2020-11-09 0:05,14,0,0,0,100,100
2020-11-09 0:05,17,1.2,1.2,0,100,100
2020-11-09 0:05,8,0,0,0,100,100
2020-11-09 0:05,19,6.1,6.1,0,0,0
2020-11-09 0:06,5,0,0,0,100,100
2020-11-09 0:06,9,4.3,4.2,0,100,100
2020-11-09 0:06,4,11.5,11.5,0,100,100
2020-11-09 0:06,30,12,0.1,0,100,100
2020-11-09 0:06,6,0,0,0,100,100
2020-11-09 0:06,4,0,0,0,97,97
2020-11-09 0:06,62,4.5,12.3,0,69,100
2020-11-09 0:06,21,3.2,3.1,0,100,100
2020-11-09 0:07,20,6.4,6.8,0,100,100
2020-11-09 0:07,11,0,0,0,10,11
2020-11-09 0:07,21,0.1,0.1,0,100,100
2020-11-09 0:07,10,0,31.8,0,40,100
2020-11-09 0:07,9,0,0,0,0,0
2020-11-09 0:07,36,0,0,0,100,100
2020-11-09 0:07,7,1.5,1.5,0,94,95
2020-11-09 0:07,4,0,0,1,100,100
2020-11-09 0:07,9,5.5,5.1,0,41,28
2020-11-09 0:07,24,0,0,0,100,100
2020-11-09 0:07,10,0.3,0.3,0,100,100
2020-11-09 0:07,52,5.3,6.2,0,100,100
2020-11-09 0:07,7,0,0,0,100,100
2020-11-09 0:08,9,0.1,0.1,0,100,100
2020-11-09 0:08,78,3.1,3,1,100,100
2020-11-09 0:08,0,0,0,0,100,100
2020-11-09 0:08,7,5.9,6,0,100,100
2020-11-09 0:08,25,0,0,1,100,100
2020-11-09 0:08,9,0,0,0,0,0
2020-11-09 0:08,5,1,1,0,89,89
2020-11-09 0:08,10,0,0,0,100,100
2020-11-09 0:08,7,0.1,0,0,100,100
2020-11-09 0:08,15,0,0,0,100,100
2020-11-09 0:08,27,0,0,0,100,100
2020-11-09 0:08,36,0,0,1,0,0
2020-11-09 0:09,8,0,0,0,100,100
2020-11-09 0:09,1,0,0,0,100,100
2020-11-09 0:09,17,0.1,0.1,1,83,83
2020-11-09 0:09,9,0,0,0,100,100
2020-11-09 0:09,21,5.2,5.2,0,0,0
2020-11-09 0:09,14,0,0,1,100,100
2020-11-09 0:09,4,7.8,7.9,0,100,100
2020-11-09 0:09,22,0.3,0.3,0,100,100
2020-11-09 0:09,0,0.1,0.1,0,100,100
2020-11-09 0:09,9,0.4,0.4,0,100,100
2020-11-09 0:09,13,1.5,0,0,100,100
2020-11-09 0:09,4,8,8,0,100,100
2020-11-09 0:10,21,0,0,0,100,100
2020-11-09 0:10,3,0,0,0,92,90
2020-11-09 0:10,7,8.8,8.9,0,100,100
2020-11-09 0:10,4,0,0,0,100,100
2020-11-09 0:10,53,12.7,2.1,0,100,100
2020-11-09 0:10,10,5.7,5.7,0,100,100
2020-11-09 0:10,74,0,0,1,100,100
2020-11-09 0:11,16,0,0,0,100,100
2020-11-09 0:11,8,4.6,4.7,0,100,100
2020-11-09 0:11,63,6.1,6.8,1,100,100
2020-11-09 0:11,18,0,0,0,100,100
2020-11-09 0:11,NaN,0,0,0,100,100
2020-11-09 0:12,52,6.8,7.6,1,100,100
2020-11-09 0:12,30,0.3,8,0,100,100
2020-11-09 0:12,35,4.5,5.6,1,100,100
2020-11-09 0:12,26,0,0,1,100,100
2020-11-09 0:12,21,0,0,0,100,100
2020-11-09 0:12,11,0.5,0.4,1,0,0
2020-11-09 0:12,12,0,0,0,100,100
2020-11-09 0:12,7,0.5,0.6,0,100,100
2020-11-09 0:12,10,0,0,0,100,100
2020-11-09 0:13,4,2.4,2.4,0,0,0
2020-11-09 0:13,4,0,0,1,100,100
2020-11-09 0:13,21,1.4,1.4,0,100,100
2020-11-09 0:13,36,2.5,2.5,1,0,0
2020-11-09 0:13,2,0,0,0,100,100
2020-11-09 0:13,8,6.2,6.1,1,100,100
2020-11-09 0:13,8,0,0,0,100,100
2020-11-09 0:14,78,8.7,2.2,1,100,100
