,factory_line,time,temperature,humidity,electrical_energy
14,LINE1_PROC1,2020-12-15 17:37,23.8,21,34.8395
15,LINE1_PROC1,2020-12-15 17:37,23.8,21,29.0329
16,LINE1_PROC1,2020-12-15 17:42,24.3,21,17.4198
17,LINE1_PROC1,2020-12-15 17:42,24.3,21,-5.80659
18,LINE1_PROC1,2020-12-15 17:44,24.2,21,29.0329
19,LINE1_PROC1,2020-12-15 17:44,24.3,21,34.8395
20,LINE1_PROC1,2020-12-15 17:44,24.1,21,34.8395
21,LINE1_PROC1,2020-12-15 17:45,24.2,21,34.8395
22,LINE1_PROC1,2020-12-15 17:45,24.3,21,34.8395
23,LINE1_PROC1,2020-12-15 17:45,24.2,21,34.8395
24,LINE1_PROC1,2020-12-15 17:45,24.3,21,29.0329
25,LINE1_PROC1,2020-12-15 17:45,24.2,21,34.8395
26,LINE1_PROC1,2020-12-15 17:45,24.3,21,29.0329
27,LINE1_PROC1,2020-12-15 17:45,24.2,21,23.2264
28,LINE1_PROC1,2020-12-15 17:45,24.2,21,23.2264
29,LINE1_PROC1,2020-12-15 17:45,24.2,21,29.0329
30,LINE1_PROC1,2020-12-15 17:45,24.2,21,29.0329
31,LINE1_PROC1,2020-12-15 17:45,24.2,21,29.0329
32,LINE1_PROC1,2020-12-15 17:45,24.2,21,29.0329
33,LINE1_PROC1,2020-12-15 17:45,24.2,21,29.0329
34,LINE1_PROC1,2020-12-15 17:45,24.2,21,29.0329
35,LINE1_PROC1,2020-12-15 17:45,24.3,21,34.8395
36,LINE1_PROC1,2020-12-15 17:45,24.2,20,34.8395
37,LINE1_PROC1,2020-12-15 17:45,24.3,20,34.8395
38,LINE1_PROC1,2020-12-15 17:45,24.3,21,34.8395
39,LINE1_PROC1,2020-12-15 17:46,24.3,20,23.2264
40,LINE1_PROC1,2020-12-15 17:46,24.3,21,34.8395
41,LINE1_PROC1,2020-12-15 17:46,24.3,21,29.0329
42,LINE1_PROC1,2020-12-15 17:46,24.3,21,17.4198
43,LINE1_PROC1,2020-12-15 17:46,24.3,21,-5.80659
44,LINE1_PROC1,2020-12-15 17:46,24.3,20,40.6461
45,LINE1_PROC1,2020-12-15 17:46,24.3,20,5.80659
46,LINE1_PROC1,2020-12-15 17:46,24.3,21,139.358
47,LINE1_PROC1,2020-12-15 17:46,24.3,21,29.0329
48,LINE1_PROC1,2020-12-15 17:46,24.4,21,40.6461
49,LINE1_PROC1,2020-12-15 17:46,24.4,21,29.0329
50,LINE1_PROC1,2020-12-15 17:46,24.2,21,40.6461
51,LINE1_PROC1,2020-12-15 17:46,24.3,21,17.4198
52,LINE1_PROC1,2020-12-15 17:46,24.3,21,29.0329
53,LINE1_PROC1,2020-12-15 17:47,24.4,21,17.4198
54,LINE1_PROC1,2020-12-15 17:47,24.4,21,5.80659
