,factory_line,time,temperature,humidity,electrical_energy
0,LINE1_PROC1,2020-12-23 05:59:44,27.0,33.0,518.0
1,LINE1_PROC1,2020-12-23 05:59:45,27.0,33.0,516.0
2,LINE1_PROC1,2020-12-23 05:59:46,26.9,33.0,518.0
3,LINE1_PROC1,2020-12-23 05:59:48,26.9,33.0,517.0
4,LINE1_PROC1,2020-12-23 05:59:49,27.0,33.0,520.0
5,LINE1_PROC1,2020-12-23 05:59:51,27.0,33.0,519.0
6,LINE1_PROC1,2020-12-23 05:59:52,26.9,34.0,520.0
7,LINE1_PROC1,2020-12-23 05:59:54,26.9,34.0,518.0
8,LINE1_PROC1,2020-12-23 05:59:55,26.9,33.0,519.0
9,LINE1_PROC1,2020-12-23 05:59:56,26.9,33.0,518.0
10,LINE1_PROC1,2020-12-23 05:59:58,26.8,34.0,509.0
11,LINE1_PROC1,2020-12-23 05:59:59,26.8,34.0,518.0
12,LINE1_PROC1,2020-12-23 06:00:01,26.3,34.0,518.0
13,LINE1_PROC1,2020-12-23 06:00:02,26.3,34.0,518.0
14,LINE1_PROC1,2020-12-23 06:00:03,27.8,34.0,521.0
15,LINE1_PROC1,2020-12-23 06:00:05,27.8,34.0,518.0
16,LINE1_PROC1,2020-12-23 06:00:06,26.8,34.0,519.0
17,LINE1_PROC1,2020-12-23 06:00:08,26.8,34.0,516.0
18,LINE1_PROC1,2020-12-23 06:00:09,26.8,34.0,518.0
19,LINE1_PROC1,2020-12-23 06:00:10,26.8,34.0,516.0
20,LINE1_PROC1,2020-12-23 06:00:12,26.8,34.0,519.0
21,LINE1_PROC1,2020-12-23 06:00:13,26.8,34.0,518.0
22,LINE1_PROC1,2020-12-23 06:00:15,26.8,34.0,519.0
23,LINE1_PROC1,2020-12-23 06:00:16,26.8,34.0,518.0
24,LINE1_PROC1,2020-12-23 06:00:17,26.7,34.0,519.0
25,LINE1_PROC1,2020-12-23 06:00:19,26.7,34.0,519.0
26,LINE1_PROC1,2020-12-23 06:00:20,26.6,34.0,519.0
27,LINE1_PROC1,2020-12-23 06:00:22,26.6,34.0,518.0
28,LINE1_PROC1,2020-12-23 06:00:23,26.8,34.0,519.0
29,LINE1_PROC1,2020-12-23 06:00:25,26.8,34.0,518.0
30,LINE1_PROC1,2020-12-23 06:00:26,26.7,34.0,519.0
31,LINE1_PROC1,2020-12-23 06:00:27,26.7,34.0,518.0
32,LINE1_PROC1,2020-12-23 06:00:29,26.6,34.0,519.0
33,LINE1_PROC1,2020-12-23 06:00:30,26.6,34.0,516.0
34,LINE1_PROC1,2020-12-23 06:00:32,26.7,34.0,520.0
35,LINE1_PROC1,2020-12-23 06:00:33,26.7,34.0,517.0
36,LINE1_PROC1,2020-12-23 06:00:34,26.6,34.0,518.0
37,LINE1_PROC1,2020-12-23 06:00:36,26.6,34.0,518.0
38,LINE1_PROC1,2020-12-23 06:00:38,26.6,34.0,520.0
39,LINE1_PROC1,2020-12-23 06:00:41,26.7,34.0,516.0
40,LINE1_PROC1,2020-12-23 06:00:42,26.7,34.0,520.0
41,LINE1_PROC1,2020-12-23 06:00:44,26.7,34.0,518.0
42,LINE1_PROC1,2020-12-23 06:00:47,26.7,34.0,517.0
43,LINE1_PROC1,2020-12-23 06:00:48,26.7,33.0,518.0
44,LINE1_PROC1,2020-12-23 06:00:50,26.7,33.0,520.0
45,LINE1_PROC1,2020-12-23 06:00:51,26.7,34.0,519.0
46,LINE1_PROC1,2020-12-23 06:00:53,26.7,34.0,518.0
47,LINE1_PROC1,2020-12-23 06:00:55,26.7,33.0,520.0
48,LINE1_PROC1,2020-12-23 06:00:57,26.6,33.0,518.0
49,LINE1_PROC1,2020-12-23 06:00:59,26.6,33.0,517.0
50,LINE1_PROC1,2020-12-23 06:01:01,26.7,33.0,520.0
51,LINE1_PROC1,2020-12-23 06:01:03,26.7,33.0,519.0
52,LINE1_PROC1,2020-12-23 06:01:05,26.7,33.0,519.0
53,LINE1_PROC1,2020-12-23 06:01:07,26.6,33.0,520.0
54,LINE1_PROC1,2020-12-23 06:01:09,26.6,33.0,517.0
55,LINE1_PROC1,2020-12-23 06:01:10,26.7,34.0,520.0
